Vivado Simulator 2017.4
Time resolution is 1 ps
	 time,	 clk,	 reset,	 enable,	 count
                   0,	 0,	 0,	 0,	  x
                   5,	 1,	 0,	 0,	  x
                  10,	 0,	 1,	 0,	  x
                  15,	 1,	 1,	 0,	  0
                  20,	 0,	 0,	 1,	  0
                  25,	 1,	 0,	 1,	  1
                  30,	 0,	 0,	 1,	  1
                  35,	 1,	 0,	 1,	  2
                  40,	 0,	 0,	 1,	  2
                  45,	 1,	 0,	 1,	  3
                  50,	 0,	 0,	 1,	  3
                  55,	 1,	 0,	 1,	  4
                  60,	 0,	 0,	 1,	  4
                  65,	 1,	 0,	 1,	  5
                  70,	 0,	 0,	 1,	  5
                  75,	 1,	 0,	 1,	  6
                  80,	 0,	 0,	 1,	  6
                  85,	 1,	 0,	 1,	  7
                  90,	 0,	 0,	 1,	  7
                  95,	 1,	 0,	 1,	  8
                 100,	 0,	 0,	 1,	  8
                 105,	 1,	 0,	 1,	  9
                 110,	 0,	 0,	 1,	  9
                 115,	 1,	 0,	 1,	 10
                 120,	 0,	 0,	 1,	 10
                 125,	 1,	 0,	 1,	 11
                 130,	 0,	 0,	 1,	 11
                 135,	 1,	 0,	 1,	 12
                 140,	 0,	 0,	 1,	 12
                 145,	 1,	 0,	 1,	  0
                 150,	 0,	 0,	 0,	  0
DUT Error at time                  155
Expected value 13,Actual value  0
                 155,	 1,	 0,	 0,	  0
                 160,	 0,	 1,	 0,	  0
DUT Error at time                  165
Expected value 13,Actual value  0
                 165,	 1,	 1,	 0,	  0
                 170,	 0,	 0,	 1,	  0
                 175,	 1,	 0,	 1,	  1
                 180,	 0,	 0,	 1,	  1
                 185,	 1,	 0,	 1,	  2
                 190,	 0,	 0,	 1,	  2
                 195,	 1,	 0,	 1,	  3
                 200,	 0,	 0,	 1,	  3
                 205,	 1,	 0,	 1,	  4
                 210,	 0,	 0,	 0,	  4
                 215,	 1,	 0,	 0,	  4
                 220,	 0,	 0,	 0,	  4
                 225,	 1,	 0,	 0,	  4
                 230,	 0,	 0,	 1,	  4
                 235,	 1,	 0,	 1,	  5
                 240,	 0,	 0,	 1,	  5
                 245,	 1,	 0,	 1,	  6
                 250,	 0,	 0,	 1,	  6
                 255,	 1,	 0,	 1,	  7
                 260,	 0,	 0,	 1,	  7
                 265,	 1,	 0,	 1,	  8
                 270,	 0,	 0,	 1,	  8
                 275,	 1,	 0,	 1,	  9
                 280,	 0,	 0,	 1,	  9
                 285,	 1,	 0,	 1,	 10
                 290,	 0,	 0,	 1,	 10
                 295,	 1,	 0,	 1,	 11
$finish called at time : 300 ns : File "F:/Vivado2017/My_project/my_project/my_project/my_project.srcs/sim_1/new/counter_tb.v" Line 58
